id,wd_id,wp_id,slug,name,occupation,prob_ratio,gender,twitter,alive,l,hpi_raw,bplace_name,bplace_lat,bplace_lon,bplace_geonameid,bplace_country,birthdate,birthyear,dplace_name,dplace_lat,dplace_lon,dplace_geonameid,dplace_country,deathdate,deathyear,bplace_geacron_name,dplace_geacron_name,is_group,l_,age,non_en_page_views,coefficient_of_variation,hpi
id,Q9458,18934,Muhammad,Muhammad,RELIGIOUS FIGURE,0,M,,FALSE,223,35.6802586,Mecca,21.4225,39.82333333,21021,Saudi Arabia,,570,Medina,24.47,39.61,36636,Saudi Arabia,0632-06-08,632,mecca,medina,FALSE,26.64958259,62,3732407,3.725078603,100
3395,Q9441,3395,Gautama_Buddha,Gautama Buddha,PHILOSOPHER,0,M,,FALSE,209,35.49535758,Lumbini,27.48138889,83.27583333,204326,Nepal,0566-04-08 BC,-566,Kushinagar,26.741,83.888,33686220,India,,-452,lumbini,kushinagar,FALSE,31.94063634,114,2038657,3.088739287,99.481783
14627,Q935,14627,Isaac_Newton,Isaac Newton,PHYSICIST,0,M,,FALSE,235,35.48016419,Woolsthorpe-by-Colsterworth,52.809863,-0.62877,201088,United Kingdom,1643-01-04,1643,Kensington,51.5,-0.19,54732,United Kingdom,1727-03-31,1726,woolsthorpe-by-colsterworth,kensington,FALSE,30.98877487,83,2508822,3.782159738,99.439201
4848272,Q22686,4848272,Donald_Trump,Donald Trump,POLITICIAN,0,M,realDonaldTrump,TRUE,253,35.41874696,Queens,40.75,-73.86666667,45579,United States,1946-06-14,1946,,,,,,,,queens,,FALSE,21.20175726,79,17028468,4.193298346,99.267069
17414699,Q720,17414699,Genghis_Khan,Genghis Khan,MILITARY PERSONNEL,0,M,,FALSE,176,35.12157015,Khentii Mountains,48.7833,109.167,7300427,Mongolia,1162-05-31,1162,Yinchuan,38.485,106.225,465955,China,1227-08-18,1227,khentii-mountains,yinchuan,FALSE,28.15747868,65,2506097,3.040898659,98.434181
60827,Q635,60827,Cleopatra,Cleopatra,POLITICIAN,0,F,,FALSE,151,35.08703265,Alexandria,31.1975,29.8925,3080,Egypt,0069-01-13 BC,-69,Alexandria,31.1975,29.8925,3080,Egypt,0030-08-12 BC,-30,alexandria,alexandria,FALSE,15.74382816,39,11936188,3.450093613,98.337383
19379,Q1001,19379,Mahatma_Gandhi,Mahatma Gandhi,SOCIAL ACTIVIST,0,M,,FALSE,203,34.86244318,Porbandar,21.64166667,69.62930556,425026,India,1869-10-02,1869,New Delhi,28.61388889,77.20888889,51585,India,1948-01-30,1948,porbandar,new-delhi,FALSE,32.22269033,79,2628164,3.107466292,97.707933
1687680,Q450675,1687680,Pope_Francis,Pope Francis,RELIGIOUS FIGURE,0,M,Pontifex,FALSE,175,34.62518722,Buenos Aires,-34.60333333,-58.38166667,255919,Argentina,1936-12-17,1936,Domus Sanctae Marthae,41.9007,12.4533,1686483,Vatican City,2025-04-21,2025,buenos-aires,domus-sanctae-marthae,FALSE,15.83497577,89,21779849,3.908639989,97.042983
73513,Q345,73513,"Mary,_mother_of_Jesus","Mary, mother of Jesus",RELIGIOUS FIGURE,0,F,,FALSE,154,34.58712436,Herodian kingdom,31.78333333,35.21666667,33141450,Israel,,-100,,,,,,,100,herodian-kingdom,,FALSE,27.85993875,200,1743390,2.70579177,96.936305
17914,Q255,17914,Ludwig_van_Beethoven,Ludwig van Beethoven,COMPOSER,0,M,,FALSE,210,34.57063835,Bonn,50.73333333,7.1,3295,Germany,1770-12-16,1770,Vienna,48.20833333,16.3725,55866,Austria,1827-03-26,1827,bonn,vienna,FALSE,25.51567527,57,2365134,3.581152323,96.8901
